Key,Test,# Trips,# Vehicles,Solution Mode,Time window (min),weight,Competitive Ratio,Algorithm,Objective type,Objective value,# Served customers,# Rejected customers,Average profit ($),Total profit,Average revenue ($),Total revenue,Total cost($),Total wait time (min),Avg. wait time (min),Empty travel time (min),% of Service,runtime (s)
3-High_2_3_wt,3-High_2,156,25,fully_online,3,1,1.78,Random,waiting_time,401.94,47,109,13.88,652.15,15.26,717.23,65.09,401.94,2.58,63.8,30.1,0.027
3-High_2_6_wt,3-High_2,156,25,fully_online,6,1,1.76,Random,waiting_time,756.46,72,84,14.24,1025.54,15.81,1138.33,112.79,756.46,4.85,215.17,46.2,0.043
3-High_2_1_wt,3-High_2,156,25,advance_notice,1,1,1.41,Random,waiting_time,111.99,70,86,14.12,988.41,15.87,1110.98,122.57,111.99,0.72,359.83,44.9,0.598
3-High_2_3_wt,3-High_2,156,25,advance_notice,3,1,1.49,Random,waiting_time,336.17,77,79,13.57,1044.97,15.29,1177.65,132.68,336.17,2.15,414.55,49.4,0.39
3-High_2_6_wt,3-High_2,156,25,advance_notice,6,1,1.68,Random,waiting_time,721.67,84,72,13.28,1115.58,14.96,1256.34,140.76,721.67,4.63,432.73,53.8,0.345
3-High_2_1_wt,3-High_2,156,25,fully_online,1,1,1.84,Ranking,waiting_time,146.0,12,144,14.52,174.26,15.84,190.1,15.84,146.0,0.94,0.0,7.7,0.01
3-High_2_3_wt,3-High_2,156,25,fully_online,3,1,1.79,Ranking,waiting_time,402.73,45,111,13.82,621.83,15.19,683.61,61.79,402.73,2.58,57.82,28.8,0.025
3-High_2_6_wt,3-High_2,156,25,fully_online,6,1,1.8,Ranking,waiting_time,770.49,71,85,14.06,998.04,15.61,1108.62,110.57,770.49,4.94,218.25,45.5,0.04
3-High_2_1_wt,3-High_2,156,25,advance_notice,1,1,1.37,Ranking,waiting_time,108.77,73,83,13.78,1006.3,15.42,1125.5,119.2,108.77,0.7,304.87,46.8,0.746
3-High_2_3_wt,3-High_2,156,25,advance_notice,3,1,1.42,Ranking,waiting_time,320.5,79,77,13.45,1062.6,15.04,1188.07,125.47,320.5,2.05,317.53,50.6,0.582
3-High_2_6_wt,3-High_2,156,25,advance_notice,6,1,1.67,Ranking,waiting_time,716.84,84,72,14.21,1193.23,15.95,1339.57,146.34,716.84,4.6,416.47,53.8,0.358
3-High_2_1_nc,3-High_2,156,25,fully_online,1,1,0.15,Greedy,total_customers,12.0,12,144,14.52,174.26,15.84,190.1,15.84,146.0,0.94,0.0,7.7,0.011
3-High_2_3_nc,3-High_2,156,25,fully_online,3,1,0.49,Greedy,total_customers,45.0,45,111,14.04,631.79,15.42,694.01,62.22,395.53,2.54,52.68,28.8,0.024
3-High_2_6_nc,3-High_2,156,25,fully_online,6,1,0.73,Greedy,total_customers,72.0,72,84,14.09,1014.33,15.6,1123.52,109.19,734.07,4.71,186.75,46.2,0.039
3-High_2_1_nc,3-High_2,156,25,advance_notice,1,1,0.92,Greedy,total_customers,73.0,73,83,13.73,1002.39,15.32,1118.62,116.22,111.58,0.72,276.05,46.8,0.674
3-High_2_3_nc,3-High_2,156,25,advance_notice,3,1,0.87,Greedy,total_customers,79.0,79,77,13.74,1085.18,15.35,1212.58,127.41,302.3,1.94,316.32,50.6,0.633
3-High_2_6_nc,3-High_2,156,25,advance_notice,6,1,0.85,Greedy,total_customers,84.0,84,72,14.22,1194.45,15.89,1334.82,140.37,625.02,4.01,349.62,53.8,0.425
3-High_2_1_nc,3-High_2,156,25,fully_online,1,1,0.15,Random,total_customers,12.0,12,144,14.52,174.26,15.84,190.1,15.84,146.0,0.94,0.0,7.7,0.009
3-High_2_3_nc,3-High_2,156,25,fully_online,3,1,0.53,Random,total_customers,48.0,48,108,13.97,670.77,15.36,737.33,66.57,397.88,2.55,61.47,30.8,0.024
3-High_2_6_nc,3-High_2,156,25,fully_online,6,1,0.75,Random,total_customers,74.0,74,82,13.96,1032.91,15.51,1147.54,114.63,760.97,4.88,227.98,47.4,0.04
3-High_2_1_nc,3-High_2,156,25,advance_notice,1,1,0.9,Random,total_customers,71.0,71,85,14.43,1024.83,16.21,1150.68,125.85,113.49,0.73,359.57,45.5,0.565
3-High_2_3_nc,3-High_2,156,25,advance_notice,3,1,0.85,Random,total_customers,77.0,77,79,13.33,1026.41,15.02,1156.7,130.29,331.05,2.12,406.77,49.4,0.342
3-High_2_6_nc,3-High_2,156,25,advance_notice,6,1,0.85,Random,total_customers,84.0,84,72,13.54,1137.4,15.27,1282.55,145.16,707.12,4.53,459.32,53.8,0.306
3-High_2_1_nc,3-High_2,156,25,fully_online,1,1,0.15,Ranking,total_customers,12.0,12,144,14.52,174.26,15.84,190.1,15.84,146.0,0.94,0.0,7.7,0.01
3-High_2_3_nc,3-High_2,156,25,fully_online,3,1,0.48,Ranking,total_customers,44.0,44,112,13.94,613.3,15.32,673.91,60.61,399.09,2.56,53.42,28.2,0.024
3-High_2_6_nc,3-High_2,156,25,fully_online,6,1,0.73,Ranking,total_customers,72.0,72,84,13.92,1002.07,15.46,1113.33,111.26,768.16,4.92,221.8,46.2,0.039
3-High_2_1_nc,3-High_2,156,25,advance_notice,1,1,0.89,Ranking,total_customers,70.0,70,86,14.52,1016.69,16.23,1136.16,119.48,109.56,0.7,297.55,44.9,0.632
3-High_2_3_nc,3-High_2,156,25,advance_notice,3,1,0.85,Ranking,total_customers,77.0,77,79,13.38,1030.18,15.04,1158.43,128.25,317.75,2.04,380.62,49.4,0.477
3-High_2_6_nc,3-High_2,156,25,advance_notice,6,1,0.84,Ranking,total_customers,83.0,83,73,13.87,1150.82,15.55,1290.7,139.89,704.68,4.52,387.93,53.2,0.367
3-High_3_1_tp,3-High_3,158,25,fully_online,1,1,0.12,Greedy,total_profit,147.9,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_tp,3-High_3,158,25,fully_online,3,1,0.48,Greedy,total_profit,598.48,43,115,13.92,598.48,15.3,657.75,59.27,410.41,2.6,53.45,27.2,0.024
3-High_3_6_tp,3-High_3,158,25,fully_online,6,1,0.71,Greedy,total_profit,966.96,74,84,13.07,966.96,14.51,1074.0,107.04,768.16,4.86,210.47,46.8,0.041
3-High_3_1_tp,3-High_3,158,25,advance_notice,1,1,0.81,Greedy,total_profit,963.16,80,78,12.04,963.16,13.5,1079.9,116.73,96.73,0.61,320.92,50.6,0.942
3-High_3_3_tp,3-High_3,158,25,advance_notice,3,1,0.86,Greedy,total_profit,1081.73,84,74,12.88,1081.73,14.44,1212.71,130.98,300.52,1.9,359.02,53.2,0.67
3-High_3_6_tp,3-High_3,158,25,advance_notice,6,1,0.89,Greedy,total_profit,1220.81,87,71,14.03,1220.81,15.72,1367.65,146.83,642.88,4.07,394.37,55.1,0.4
3-High_3_1_tp,3-High_3,158,25,fully_online,1,1,0.12,Random,total_profit,147.9,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_tp,3-High_3,158,25,fully_online,3,1,0.49,Random,total_profit,613.97,45,113,13.64,613.97,15.0,675.08,61.11,409.53,2.59,58.23,28.5,0.024
3-High_3_6_tp,3-High_3,158,25,fully_online,6,1,0.73,Random,total_profit,996.55,77,81,12.94,996.55,14.42,1110.7,114.15,797.63,5.05,259.1,48.7,0.04
3-High_3_1_tp,3-High_3,158,25,advance_notice,1,1,0.84,Random,total_profit,997.55,78,80,12.79,997.55,14.43,1125.75,128.19,104.66,0.66,412.57,49.4,0.66
3-High_3_3_tp,3-High_3,158,25,advance_notice,3,1,0.85,Random,total_profit,1074.54,84,74,12.79,1074.54,14.44,1212.58,138.04,331.09,2.1,443.9,53.2,0.455
3-High_3_6_tp,3-High_3,158,25,advance_notice,6,1,0.82,Random,total_profit,1113.02,84,74,13.25,1113.02,14.98,1258.5,145.48,733.82,4.64,487.27,53.2,0.285
3-High_3_1_tp,3-High_3,158,25,fully_online,1,1,0.12,Ranking,total_profit,147.9,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_tp,3-High_3,158,25,fully_online,3,1,0.49,Ranking,total_profit,614.87,47,111,13.08,614.87,14.38,675.91,61.05,400.66,2.54,56.63,29.7,0.024
3-High_3_6_tp,3-High_3,158,25,fully_online,6,1,0.71,Ranking,total_profit,975.06,75,83,13.0,975.06,14.49,1086.76,111.7,789.59,5.0,253.65,47.5,0.044
3-High_3_1_tp,3-High_3,158,25,advance_notice,1,1,0.83,Ranking,total_profit,993.12,79,79,12.57,993.12,14.15,1117.65,124.53,100.41,0.64,376.65,50.0,0.796
3-High_3_3_tp,3-High_3,158,25,advance_notice,3,1,0.86,Ranking,total_profit,1081.9,86,72,12.58,1081.9,14.18,1219.65,137.75,311.17,1.97,433.33,54.4,0.522
3-High_3_6_tp,3-High_3,158,25,advance_notice,6,1,0.82,Ranking,total_profit,1115.35,84,74,13.28,1115.35,14.99,1259.28,143.93,731.28,4.63,467.88,53.2,0.322
3-High_3_1_wt,3-High_3,158,25,fully_online,1,1,2.1,Greedy,waiting_time,148.83,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.011
3-High_3_3_wt,3-High_3,158,25,fully_online,3,1,1.97,Greedy,waiting_time,410.41,43,115,13.92,598.48,15.3,657.75,59.27,410.41,2.6,53.45,27.2,0.025
3-High_3_6_wt,3-High_3,158,25,fully_online,6,1,1.91,Greedy,waiting_time,764.55,77,81,12.81,986.0,14.25,1097.2,111.19,764.55,4.84,237.13,48.7,0.042
3-High_3_1_wt,3-High_3,158,25,advance_notice,1,1,1.36,Greedy,waiting_time,96.89,77,81,12.75,981.78,14.32,1102.6,120.82,96.89,0.61,347.23,48.7,0.839
3-High_3_3_wt,3-High_3,158,25,advance_notice,3,1,1.43,Greedy,waiting_time,298.52,84,74,12.96,1088.3,14.53,1220.89,132.59,298.52,1.89,370.18,53.2,0.664
3-High_3_6_wt,3-High_3,158,25,advance_notice,6,1,1.58,Greedy,waiting_time,633.66,88,70,13.58,1195.14,15.22,1339.58,144.44,633.66,4.01,393.72,55.7,0.431
3-High_3_1_wt,3-High_3,158,25,fully_online,1,1,2.1,Random,waiting_time,148.83,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_wt,3-High_3,158,25,fully_online,3,1,1.96,Random,waiting_time,408.11,45,113,13.77,619.82,15.14,681.32,61.5,408.11,2.58,56.67,28.5,0.024
3-High_3_6_wt,3-High_3,158,25,fully_online,6,1,1.97,Random,waiting_time,790.7,75,83,12.9,967.13,14.36,1076.66,109.54,790.7,5.0,237.77,47.5,0.042
3-High_3_1_wt,3-High_3,158,25,advance_notice,1,1,1.48,Random,waiting_time,104.87,77,81,12.88,991.92,14.51,1117.53,125.61,104.87,0.66,389.78,48.7,0.61
3-High_3_3_wt,3-High_3,158,25,advance_notice,3,1,1.57,Random,waiting_time,327.99,85,73,12.52,1064.1,14.18,1205.03,140.93,327.99,2.08,486.15,53.8,0.425
3-High_3_6_wt,3-High_3,158,25,advance_notice,6,1,1.86,Random,waiting_time,744.05,86,72,13.0,1118.2,14.74,1267.76,149.57,744.05,4.71,527.07,54.4,0.268
3-High_3_1_wt,3-High_3,158,25,fully_online,1,1,2.1,Ranking,waiting_time,148.83,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_wt,3-High_3,158,25,fully_online,3,1,1.93,Ranking,waiting_time,401.99,46,112,13.51,621.41,14.85,682.9,61.49,401.99,2.54,54.98,29.1,0.024
3-High_3_6_wt,3-High_3,158,25,fully_online,6,1,1.99,Ranking,waiting_time,796.89,75,83,13.18,988.28,14.68,1101.01,112.73,796.89,5.04,251.78,47.5,0.042
3-High_3_1_wt,3-High_3,158,25,advance_notice,1,1,1.45,Ranking,waiting_time,102.9,78,80,12.27,956.79,13.81,1077.5,120.71,102.9,0.65,371.0,49.4,0.783
3-High_3_3_wt,3-High_3,158,25,advance_notice,3,1,1.44,Ranking,waiting_time,299.94,84,74,12.71,1067.27,14.29,1200.76,133.49,299.94,1.9,401.13,53.2,0.583
3-High_3_6_wt,3-High_3,158,25,advance_notice,6,1,1.8,Ranking,waiting_time,719.66,84,74,13.65,1146.22,15.37,1290.8,144.58,719.66,4.55,444.2,53.2,0.31
3-High_3_1_nc,3-High_3,158,25,fully_online,1,1,0.12,Greedy,total_customers,11.0,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_nc,3-High_3,158,25,fully_online,3,1,0.46,Greedy,total_customers,43.0,43,115,13.92,598.48,15.3,657.75,59.27,410.41,2.6,53.45,27.2,0.024
3-High_3_6_nc,3-High_3,158,25,fully_online,6,1,0.73,Greedy,total_customers,77.0,77,81,12.81,986.0,14.25,1097.2,111.19,764.55,4.84,237.13,48.7,0.041
3-High_3_1_nc,3-High_3,158,25,advance_notice,1,1,0.87,Greedy,total_customers,77.0,77,81,12.75,981.78,14.32,1102.6,120.82,96.89,0.61,347.23,48.7,0.838
3-High_3_3_nc,3-High_3,158,25,advance_notice,3,1,0.89,Greedy,total_customers,84.0,84,74,12.96,1088.3,14.53,1220.89,132.59,298.52,1.89,370.18,53.2,0.659
3-High_3_6_nc,3-High_3,158,25,advance_notice,6,1,0.83,Greedy,total_customers,88.0,88,70,13.58,1195.14,15.22,1339.58,144.44,633.66,4.01,393.72,55.7,0.429
3-High_3_1_nc,3-High_3,158,25,fully_online,1,1,0.12,Random,total_customers,11.0,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_nc,3-High_3,158,25,fully_online,3,1,0.47,Random,total_customers,44.0,44,114,13.64,600.06,14.98,659.33,59.27,406.01,2.57,51.88,27.8,0.023
3-High_3_6_nc,3-High_3,158,25,fully_online,6,1,0.7,Random,total_customers,74.0,74,84,12.99,961.16,14.48,1071.34,110.18,803.52,5.09,250.87,46.8,0.041
3-High_3_1_nc,3-High_3,158,25,advance_notice,1,1,0.87,Random,total_customers,77.0,77,81,12.58,968.82,14.22,1095.1,126.27,107.23,0.68,420.2,48.7,0.608
3-High_3_3_nc,3-High_3,158,25,advance_notice,3,1,0.87,Random,total_customers,82.0,82,76,12.33,1011.14,13.98,1146.03,134.89,334.38,2.12,472.68,51.9,0.369
3-High_3_6_nc,3-High_3,158,25,advance_notice,6,1,0.79,Random,total_customers,84.0,84,74,13.75,1154.83,15.54,1305.55,150.72,751.14,4.75,503.08,53.2,0.245
3-High_3_1_nc,3-High_3,158,25,fully_online,1,1,0.12,Ranking,total_customers,11.0,11,147,13.45,147.9,14.67,161.35,13.45,148.83,0.94,0.0,7.0,0.01
3-High_3_3_nc,3-High_3,158,25,fully_online,3,1,0.5,Ranking,total_customers,47.0,47,111,13.08,614.87,14.38,675.91,61.05,402.26,2.55,56.63,29.7,0.024
3-High_3_6_nc,3-High_3,158,25,fully_online,6,1,0.72,Ranking,total_customers,76.0,76,82,13.54,1028.69,15.06,1144.35,115.66,785.99,4.97,243.52,48.1,0.04
3-High_3_1_nc,3-High_3,158,25,advance_notice,1,1,0.87,Ranking,total_customers,77.0,77,81,12.98,999.47,14.58,1122.47,122.99,101.9,0.64,353.45,48.7,0.769
3-High_3_3_nc,3-High_3,158,25,advance_notice,3,1,0.93,Ranking,total_customers,87.0,87,71,12.35,1074.86,13.93,1211.83,136.97,317.93,2.01,431.83,55.1,0.556
3-High_3_6_nc,3-High_3,158,25,advance_notice,6,1,0.8,Ranking,total_customers,85.0,85,73,13.7,1164.38,15.44,1312.33,147.95,709.68,4.49,463.1,53.8,0.317
